,0,1,2
0,-8.649342,41.154102,20
1,-8.649936,41.154201,20
2,-8.650485,41.153769,20
3,-8.650971,41.153283,20
4,-8.651763,41.152581,20
5,-8.653365,41.152257,20
6,-8.655048,41.152212,20
7,-8.65629,41.151627,20
8,-8.657784,41.151033,20
9,-8.659431,41.15079,20
10,-8.660088,41.150673,20
11,-8.661213,41.150457,20
12,-8.661483,41.150475,20
13,-8.661483,41.150484,20
14,-8.661492,41.150484,20
15,-8.662608,41.150502,20
16,-8.664903,41.150718,20
17,-8.667648,41.151609,20
18,-8.669808,41.152698,20
19,-8.670924,41.153535,20
20,-8.671833,41.154291,20
21,-8.672202,41.15466,20
22,-8.672553,41.155623,20
23,-8.673336,41.154831,20
24,-8.67438,41.155605,20
25,-8.675415,41.156748,20
26,-8.676315,41.156451,20
27,-8.648883,41.154939,20
28,-8.678061,41.155695,20
29,-8.678646,41.156262,20
30,-8.679123,41.156865,20
31,-8.679735,41.157504,20
32,-8.68086,41.158854,20
33,-8.681625,41.159736,20
34,-8.681742,41.159664,20
35,-8.68176,41.159628,20
36,-8.649549,41.154291,20
37,-8.649819,41.154408,20
38,-8.6499,41.154327,20
39,-8.650044,41.154246,20
40,-8.650395,41.153715,20
41,-8.651574,41.152491,20
42,-8.651826,41.152374,20
43,-8.65296,41.15214,20
44,-8.654634,41.152149,20
45,-8.656506,41.151402,20
46,-8.656812,41.151258,20
47,-8.657766,41.150961,20
48,-8.660232,41.150502,20
49,-8.662842,41.150457,20
50,-8.665209,41.150808,20
51,-8.667558,41.151528,20
52,-8.669619,41.152572,20
53,-8.671203,41.153742,20
54,-8.672256,41.154885,20
55,-8.673111,41.155488,20
56,-8.673903,41.15448,20
57,-8.675415,41.153625,20
58,-8.676756,41.152779,20
59,-8.678025,41.152626,20
60,-8.679744,41.154588,20
61,-8.681607,41.15682,20
62,-8.681769,41.157027,20
63,-8.682813,41.15826,20
64,-8.683596,41.159214,20
65,-8.683587,41.159196,20
66,-8.684307,41.160402,20
67,-8.685684,41.162841,20
68,-8.686989,41.165199,20
69,-8.688141,41.167224,20
70,-8.687916,41.168061,20
71,-8.687421,41.169249,20
